Using TensorFlow backend.
Building Model
Modeling Finished
2017-08-06 03:20:33.925231: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925258: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925264: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925269: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925274: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
('TIMESTEP', 12300, '/ EPSILON', 0.09959041000007904, '/ Loss ', 43.443153)
('TIMESTEP', 12400, '/ EPSILON', 0.09958708000007968, '/ Loss ', 43.276539)
('TIMESTEP', 12500, '/ EPSILON', 0.09958375000008032, '/ Loss ', 33.797703)
('TIMESTEP', 12600, '/ EPSILON', 0.09958042000008097, '/ Loss ', 37.559391)
('TIMESTEP', 12700, '/ EPSILON', 0.09957709000008161, '/ Loss ', 41.850304)
('TIMESTEP', 12800, '/ EPSILON', 0.09957376000008225, '/ Loss ', 40.331554)
('TIMESTEP', 12900, '/ EPSILON', 0.0995704300000829, '/ Loss ', 47.361954)
('TIMESTEP', 13000, '/ EPSILON', 0.09956710000008354, '/ Loss ', 37.467312)
Model Saved
('TIMESTEP', 13100, '/ EPSILON', 0.09956377000008418, '/ Loss ', 52.54686)
('TIMESTEP', 13200, '/ EPSILON', 0.09956044000008482, '/ Loss ', 46.268089)
('TIMESTEP', 13300, '/ EPSILON', 0.09955711000008546, '/ Loss ', 37.54203)
('TIMESTEP', 13400, '/ EPSILON', 0.0995537800000861, '/ Loss ', 43.810822)
('TIMESTEP', 13500, '/ EPSILON', 0.09955045000008675, '/ Loss ', 44.191978)
('TIMESTEP', 13600, '/ EPSILON', 0.09954712000008739, '/ Loss ', 39.795261)
('TIMESTEP', 13700, '/ EPSILON', 0.09954379000008803, '/ Loss ', 40.486488)
('TIMESTEP', 13800, '/ EPSILON', 0.09954046000008868, '/ Loss ', 39.401024)
('TIMESTEP', 13900, '/ EPSILON', 0.09953713000008932, '/ Loss ', 45.817802)
('TIMESTEP', 14000, '/ EPSILON', 0.09953380000008996, '/ Loss ', 42.696026)
Model Saved
('TIMESTEP', 14100, '/ EPSILON', 0.0995304700000906, '/ Loss ', 41.750137)
('TIMESTEP', 14200, '/ EPSILON', 0.09952714000009125, '/ Loss ', 37.399288)
('TIMESTEP', 14300, '/ EPSILON', 0.09952381000009189, '/ Loss ', 39.911449)
('TIMESTEP', 14400, '/ EPSILON', 0.09952048000009253, '/ Loss ', 39.997753)
('TIMESTEP', 14500, '/ EPSILON', 0.09951715000009317, '/ Loss ', 41.689003)
('TIMESTEP', 14600, '/ EPSILON', 0.09951382000009382, '/ Loss ', 39.214798)
('TIMESTEP', 14700, '/ EPSILON', 0.09951049000009446, '/ Loss ', 45.321964)
('TIMESTEP', 14800, '/ EPSILON', 0.0995071600000951, '/ Loss ', 45.913033)
('TIMESTEP', 14900, '/ EPSILON', 0.09950383000009574, '/ Loss ', 40.585144)
('TIMESTEP', 15000, '/ EPSILON', 0.09950050000009639, '/ Loss ', 36.273609)
Model Saved
('TIMESTEP', 15100, '/ EPSILON', 0.09949717000009703, '/ Loss ', 32.168636)
('TIMESTEP', 15200, '/ EPSILON', 0.09949384000009767, '/ Loss ', 49.844414)
('TIMESTEP', 15300, '/ EPSILON', 0.09949051000009831, '/ Loss ', 40.135365)
('TIMESTEP', 15400, '/ EPSILON', 0.09948718000009896, '/ Loss ', 37.076015)
('TIMESTEP', 15500, '/ EPSILON', 0.0994838500000996, '/ Loss ', 37.220505)
('TIMESTEP', 15600, '/ EPSILON', 0.09948052000010024, '/ Loss ', 31.725855)
('TIMESTEP', 15700, '/ EPSILON', 0.09947719000010088, '/ Loss ', 39.238224)
('TIMESTEP', 15800, '/ EPSILON', 0.09947386000010153, '/ Loss ', 36.657799)
('TIMESTEP', 15900, '/ EPSILON', 0.09947053000010217, '/ Loss ', 33.554459)
('TIMESTEP', 16000, '/ EPSILON', 0.09946720000010281, '/ Loss ', 37.369461)
Model Saved
('TIMESTEP', 16100, '/ EPSILON', 0.09946387000010345, '/ Loss ', 37.209667)
('TIMESTEP', 16200, '/ EPSILON', 0.0994605400001041, '/ Loss ', 32.58173)
('TIMESTEP', 16300, '/ EPSILON', 0.09945721000010474, '/ Loss ', 36.440491)
('TIMESTEP', 16400, '/ EPSILON', 0.09945388000010538, '/ Loss ', 42.964542)
('TIMESTEP', 16500, '/ EPSILON', 0.09945055000010602, '/ Loss ', 41.993275)
('TIMESTEP', 16600, '/ EPSILON', 0.09944722000010667, '/ Loss ', 36.820812)
('TIMESTEP', 16700, '/ EPSILON', 0.09944389000010731, '/ Loss ', 37.588139)
('TIMESTEP', 16800, '/ EPSILON', 0.09944056000010795, '/ Loss ', 40.908676)
('TIMESTEP', 16900, '/ EPSILON', 0.0994372300001086, '/ Loss ', 42.036098)
('TIMESTEP', 17000, '/ EPSILON', 0.09943390000010924, '/ Loss ', 40.411964)
Model Saved
('TIMESTEP', 17100, '/ EPSILON', 0.09943057000010988, '/ Loss ', 29.180656)
('TIMESTEP', 17200, '/ EPSILON', 0.09942724000011052, '/ Loss ', 34.089729)
('TIMESTEP', 17300, '/ EPSILON', 0.09942391000011117, '/ Loss ', 39.868298)
('TIMESTEP', 17400, '/ EPSILON', 0.09942058000011181, '/ Loss ', 36.084229)
('TIMESTEP', 17500, '/ EPSILON', 0.09941725000011245, '/ Loss ', 34.767471)
('TIMESTEP', 17600, '/ EPSILON', 0.09941392000011309, '/ Loss ', 39.616867)
('TIMESTEP', 17700, '/ EPSILON', 0.09941059000011374, '/ Loss ', 34.380428)
